Date,Open,High,Low,Close,Adj Close,Volume
,5.6525,6.755000000000001,5.5725,6.3575,6.3575,29541225
2020-08-31,5.77,7.15,5.69,6.68,6.68,37976000
,6.1525,7.317500000000001,5.960000000000001,6.922499999999999,6.922499999999999,34271650
,6.535,7.485,6.23,7.165,7.165,30567300
,6.9175,7.6525,6.5,7.407500000000001,7.407500000000001,26862950
2020-09-01,7.3,7.82,6.77,7.65,7.65,23158600
,7.425,7.8775,6.8549999999999995,7.665,7.665,20621725
,7.55,7.9350000000000005,6.9399999999999995,7.68,7.68,18084850
,7.675,7.992500000000001,7.025,7.695,7.695,15547975
2020-09-02,7.8,8.05,7.11,7.71,7.71,13011100
,7.82,8.15,7.1425,7.737500000000001,7.737500000000001,13344450
,7.84,8.25,7.175000000000001,7.765000000000001,7.765000000000001,13677800
,7.859999999999999,8.35,7.2075000000000005,7.7925,7.7925,14011150
2020-09-03,7.88,8.45,7.24,7.82,7.82,14344500
,7.855,8.317499999999999,7.2225,7.7775,7.7775,12673875
,7.83,8.184999999999999,7.205,7.735,7.735,11003250
,7.805,8.052499999999998,7.1875,7.692500000000001,7.692500000000001,9332625
2020-09-04,7.78,7.92,7.17,7.65,7.65,7662000
,7.7225,8.01,7.2475000000000005,7.6625000000000005,7.6625000000000005,8200650
,7.665,8.1,7.325,7.675000000000001,7.675000000000001,8739300
,7.6075,8.19,7.4025,7.6875,7.6875,9277950
2020-09-08,7.55,8.28,7.48,7.7,7.7,9816600
,7.6525,8.2075,7.4375,7.612500000000001,7.612500000000001,9629475
,7.755,8.135,7.395,7.525,7.525,9442350
,7.8575,8.0625,7.352499999999999,7.4375,7.4375,9255225
2020-09-09,7.96,7.99,7.31,7.35,7.35,9068100
,7.6325,7.73,7.029999999999999,7.07,7.07,10690650
,7.305,7.470000000000001,6.75,6.79,6.79,12313200
,6.9775,7.210000000000001,6.470000000000001,6.51,6.51,13935750
2020-09-10,6.65,6.95,6.19,6.23,6.23,15558300
,6.5525,6.795,6.11,6.195,6.195,13184025
