,Date,Open,High,Low,Close,Adj Close,Volume
216,2021-05-13,147.440002,169.949997,146.429993,164.5,164.5,8873500
217,2021-05-14,160.0,166.470001,156.220001,159.919998,159.919998,4293500
218,2021-05-17,159.850006,182.5,159.0,180.600006,180.600006,7462100
219,2021-05-18,174.539993,189.199997,168.270004,180.669998,180.669998,7738700
220,2021-05-19,171.990005,178.979996,164.149994,168.830002,168.830002,4825900
221,2021-05-20,170.789993,174.910004,166.899994,170.490005,170.490005,2478200
222,2021-05-21,171.0,179.240005,170.330002,176.789993,176.789993,3654700
223,2021-05-24,175.850006,188.460007,173.350006,180.009995,180.009995,4664300
224,2021-05-25,181.0,217.110001,181.0,209.429993,209.429993,14887500
225,2021-05-26,229.0,248.479996,225.550003,242.559998,242.559998,21119900
226,2021-05-27,229.800003,264.0,227.0,254.130005,254.130005,15526300
227,2021-05-28,262.970001,268.799988,221.429993,222.0,222.0,11751400
228,2021-06-01,233.479996,254.979996,227.070007,249.020004,249.020004,9625600
229,2021-06-02,248.880005,294.0,244.300003,282.23999,282.23999,16019200
230,2021-06-03,265.709991,274.429993,242.119995,258.179993,258.179993,8000000
231,2021-06-04,256.019989,265.0,245.770004,248.360001,248.360001,3637500
232,2021-06-07,258.0,282.0,255.199997,280.01001,280.01001,6051500
233,2021-06-08,292.0,344.660004,281.0,300.0,300.0,17439100
234,2021-06-09,303.119995,328.0,291.51001,302.559998,302.559998,13429300
235,2021-06-10,282.0,288.0,211.0,220.389999,220.389999,22980200
236,2021-06-11,222.350006,241.130005,206.130005,233.339996,233.339996,15580800
237,2021-06-14,236.5,238.009995,219.199997,229.440002,229.440002,7132600
238,2021-06-15,226.360001,229.25,208.0,222.5,222.5,7301900
239,2021-06-16,215.240005,228.729996,209.0,222.970001,222.970001,5564800
240,2021-06-17,224.0,233.660004,221.479996,223.589996,223.589996,4608600
241,2021-06-18,220.179993,223.490005,213.0,213.820007,213.820007,4320300
242,2021-06-21,216.949997,218.399994,197.0,200.369995,200.369995,5120200
243,2021-06-22,217.729996,225.880005,209.169998,220.399994,220.399994,8200200
244,2021-06-23,221.449997,222.570007,214.119995,219.339996,219.339996,3555100
245,2021-06-24,221.160004,227.449997,211.600006,212.309998,212.309998,3863300
246,2021-06-25,214.0,214.199997,198.5,209.509995,209.509995,12692700
247,2021-06-28,211.25,224.449997,210.199997,213.25,213.25,4879400
248,2021-06-29,213.589996,215.220001,208.009995,210.880005,210.880005,2480000
249,2021-06-30,209.690002,215.279999,206.940002,214.139999,214.139999,2539600
250,2021-07-01,213.399994,216.830002,202.0,204.360001,204.360001,2742100
251,2021-07-02,204.800003,205.449997,196.5,202.830002,202.830002,2599100
